Protein Accession	Assembly	Species	Lineage	Assembly BioProject Lineage Title	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value	Assembly BioSample Description Title	Assembly BioSample Sample Identifiers Database	Assembly BioSample Models	Assembly BioSample Owner Name	Assembly BioSample Package	Assembly BioSample Publication date	Assembly Level	Assembly Notes	Assembly Sequencing Tech	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Total Sequence Length	Current Accession	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length MB	Signature.accession	Combined Signature description	Total Signature Description	color three
WP_143101657.1	GCF_900109545.1	Stigmatella aurantiaca	Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Archangiaceae; Stigmatella	Stigmatella aurantiaca DSM 17044	strain	DSM 17044	Stigmatella aurantiaca DSM 17044	SRA	MIGS.ba	DOE Joint Genome Institute	MIGS.ba.6.0	2016-07-26 0:00:00	Contig	Not Available	Not Available	6476209	69	79.0x	9365767	GCF_900109545.1	Stigmatella aurantiaca	41	9.365767	cd05931	FAAL	1	#FFFFFF
WP_263437675.1	GCF_020103775.1	Stigmatella hybrida	Bacteria; Myxococcota;  Myxococcia;  Myxococcales;  Cystobacterineae;  Archangiaceae;  Stigmatella																					cd05931	FAAL	1	#FFFFFF
WP_044186763.1	GCF_000737315.1	Hyalangium minutum	Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Archangiaceae; Hyalangium	Hyalangium minutum strain:DSM 14724 Genome sequencing and assembly	strain	DSM 14724	Microbe sample from Hyalangium minutum	Not Available	Microbe, viral or environmental	IMTECH-CSIR	Microbe.1.0	2014-04-04 0:00:00	Contig	Not Available	Illumina HiSeq	7603587	68	187.0x	11186183	GCF_000737315.1	Hyalangium minutum	394096	11.186183	cd05931	FAAL	1	#FFFFFF
BGC0000984	GCF_000018665.1		Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; Delftia acidovorans																					cd05930-cd05931-cd19531	A_NRPS-FAAL-LCL_NRPS-like	4	#000000
MCC7442833.1	GCA_020850015.1	Bdellovibrionales bacterium	Bacteria; Bdellovibrionota; Bdellovibrionia; Bdellovibrionales	Disturbance-based management of ecosystem services and disservices in partial nitritation anammox biofilms	collection_date	11/11/2015	Uncultivated Bdellovibrionales bacterium SJ854	Not Available	MIMAG.wastewater	University of Gothenburg	MIMAG.wastewater.6.0	2021-07-05 0:00:00	Contig	derived from metagenome,genus undefined	Illumina NovaSeq	2232083	65	10.0x	3443678	GCA_020850015.1	Bdellovibrionales bacterium	2053517	3.443678	cd05931-cd06454	FAAL-KBL_like	2	#000000
MBP9946811.1	GCA_018063445.1	Vicinamibacteria bacterium	Bacteria; Acidobacteriota; Vicinamibacteria	ANTIRES - Distribution pathways of antibiotic resistances in municipal wastewater	collection_date	not applicable	MAG bin Gw_SlAct_bin_168 of sample SAMN18038655 generated with metaSPAdes and MetaBAT2	Not Available	MIMAG.wastewater	University of Goettingen	MIMAG.wastewater.6.0	2021-03-03 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq	2520075	65.5	10.4x	3846866	GCA_018063445.1	Vicinamibacteria bacterium	2793154	3.846866	cd05931	FAAL	1	#FFFFFF
MBK5254700.1	GCA_016650185.1	Vicinamibacteria bacterium	Bacteria; Acidobacteriota; Vicinamibacteria	Reconstruction of metagenome-assembled genomes from microorganisms in ancient Siberian permafrost	collection_date	2017-08	MIMAG Metagenome-assembled Genome sample from Vicinamibacteria bacterium	Not Available	MIMAG.sediment	Princeton University	MIMAG.sediment.6.0	2021-01-07 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	2459386	64	2.6x	3851640	GCA_016650185.1	Vicinamibacteria bacterium	2793154	3.85164	cd05931	FAAL	1	#FFFFFF
WP_056500766.1	GCF_001424685.1	Aureimonas sp. Leaf454	Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Aurantimonadaceae; Aureimonas	Arabidopsis thaliana leaf-derived microbiota culture collections Genome sequencing and assembly	ref_biomaterial	genome	MIGS Cultured Bacterial/Archaeal sample from Aureimonas sp. Leaf454	Not Available	MIGS.ba,MIGS/MIMS/MIMARKS.plant-associated	Max Planck Institute for Plant Breeding Research	MIGS.ba.plant-associated.6.0	2015-11-07 0:00:00	Contig	Not Available	Illumina HiSeq	3219084	67	300.0x	4797175	GCF_001424685.1	Aureimonas sp. Leaf454	1736381	4.797175	cd05931	FAAL	1	#FFFFFF
WP_062207099.1	GCF_001463705.1	Aureimonas sp. AU12	Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Aurantimonadaceae; Aureimonas	Draft genome sequences of Aurantimonadaceae bacteria	sample_name	Aureimonas sp. AU12	Aureimonas sp. AU12, soybean isolate	Not Available	MIGS.ba.plant-associated	Graduate school of Tohoku University	MIGS.ba.plant-associated.6.0	2015-10-29 0:00:00	Contig	Not Available	Miseq	3161685	67.5	49.0x	4667655	GCF_001463705.1	Aureimonas sp. AU12	1638161	4.667655	cd05931	FAAL	1	#FFFFFF
MBB3996738.1	GCF_014196835.1	Aureimonas pseudogalii	Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Aurantimonadaceae; Aureimonas	Aureimonas pseudogalii DSM 102238 genome sequencing	strain	DSM 102238	Aureimonas pseudogalii DSM 102238	SRA	MIGS.ba	DOE Joint Genome Institute	MIGS.ba.6.0	2019-10-31 0:00:00	Scaffold	Not Available	Illumina	3395881	68	300.0x	5002150	GCF_014196835.1	Aureimonas pseudogalii	1744844	5.00215	cd05931	FAAL	1	#FFFFFF
WP_246392763.1	GCF_014196835.1	Aureimonas pseudogalii	Bacteria;   Pseudomonadota;  Alphaproteobacteria;  Hyphomicrobiales;  Aurantimonadaceae;  Aureimonas																					cd05931	FAAL	1	#FFFFFF
WP_034340857.1	GCF_947179115.1	Commensalibacter	Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae	Genomic analysis of Commensalibacter species	ENA-CHECKLIST	ERC000011	Commensalibacter sp. LMG 32512	SRA	Generic	EBI	Generic.1.0	2023-01-23 0:00:00	Contig	Not Available	Illumina	874466	36.5	359.0x	2381376	GCF_947179115.1	Commensalibacter papalotli (ex Botero et al. 2024)	2972766	2.381376	cd05931	FAAL	1	#FFFFFF
WP_008855095.1	GCF_002153535.1	Commensalibacter intestini	Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae	Investigating the microbiota of Drosophila melanogaster and Drosophila suzukii to understand molecular mechanisms of the symbioses	env_broad_scale	Laboratory	Microbe sample from Commensalibacter intestini	Not Available	Microbe, viral or environmental	Cornell University	Microbe.1.0	2015-07-25 0:44:09	Contig	Not Available	Illumina MiSeq	896366	37	428.0x	2434976	GCF_002153535.1	Commensalibacter intestini	479936	2.434976	cd05931	FAAL	1	#FFFFFF
WP_207883903.1	GCF_017377715.1	Acetobacter sacchari	Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	Acetobacter sacchari TBRC 11175	strain	TBRC 11175	Microbe sample from Acetobacter sacchari	Not Available	Microbe, viral or environmental	National Center for Genetic Engineering and Biotechnology (BIOTEC)	Microbe.1.0	2021-03-09 0:00:00	Contig	Not Available	Illumina HiSeq	2734081	60	439.2x	4553202	GCF_017377715.1	Acetobacter sacchari	2661687	4.553202	cd05931	FAAL	1	#FFFFFF
WP_026398300.1	GCF_007991375.1	Acetobacter nitrogenifigens	Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	Acetobacter nitrogenifigens NBRC 105050 genome sequencing project	sample_name	NBRC 105050	Acetobacter nitrogenifigens NBRC 105050	Not Available	MIGS.ba	National Institute of Technology and Evaluation Biological Resource Center	MIGS.ba.6.0	2019-05-07 0:00:00	Contig	Not Available	Illumina HiSeq 1000	2564339	60.5	90.0x	4241307	GCF_007991375.1	Acetobacter nitrogenifigens DSM 23921 = NBRC 105050	1120919	4.241307	cd05931	FAAL	1	#FFFFFF
WP_202207969.1	GCF_014132155.1	Gluconobacter sp. Gdi	Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Gluconobacter	Genome assemblies of bacterial isolates from Drosophila melanogaster	sample_name	DmGdi	Genome assembly of Gluconobacter sp. strain Gdi	Not Available	MIGS.ba.host-associated	National Institute of Genetics	MIGS.ba.host-associated.6.0	2020-07-29 0:00:00	Scaffold	Not Available	Illumina NovaSeq6000	1990150	56	910.0x	3546407	GCF_014132155.1	Gluconobacter sp. Gdi	2691888	3.546407	cd05931	FAAL	1	#FFFFFF
WP_035730500.1	GCF_001580935.1	Gluconobacter thailandicus	Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Gluconobacter	acetic acid bacteria	strain	LMG 23137	Microbe sample from Gluconobacter thailandicus	Not Available	Microbe, viral or environmental	Ghent University	Microbe.1.0	2015-06-28 0:00:00	Contig	Not Available	Illumina HiSeq	1927577	56	169.0x	3431309	GCF_001580935.1	Gluconobacter thailandicus	257438	3.431309	cd05931	FAAL	1	#FFFFFF
WP_062015516.1	GCF_001580715.1	Gluconobacter japonicus	Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Gluconobacter	acetic acid bacteria	strain	A813	Microbe sample from Gluconobacter japonicus	Not Available	Microbe, viral or environmental	Ghent University	Microbe.1.0	2015-06-28 8:57:12	Contig	Not Available	Illumina HiSeq	1765391	56	155.0x	3163238	GCF_001580715.1	Gluconobacter japonicus	376620	3.163238	cd05931	FAAL	1	#FFFFFF
WP_099182390.1	GCF_030159735.1	Gluconobacter frateurii	Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Gluconobacter	De novo sequencing and analysis for Strain NBRC 3264 of Gluconobacter frateurii	sample_name	NBRC 3264	Strain NBRC 3264 of Gluconobacter frateurii	SRA	MIGS.ba	Institution of Microbiology, Chinese Academy of Science(WDCM)	MIGS.ba.6.0	2020-07-07 0:00:00	Contig	Not Available	Illumina	1857463	56	152.0x	3311234	GCF_030159735.1	Gluconobacter frateurii	38308	3.311234	cd05931	FAAL	1	#FFFFFF
OAG73842.1	GCA_001642615.1	Gluconobacter japonicus	Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Gluconobacter	Gluconobacter japonicus strain:CECT 8443 Genome sequencing and assembly	strain	CECT 8443	Microbe sample from Gluconobacter japonicus	Not Available	Microbe, viral or environmental	Universitat Rovira i Virgili	Microbe.1.0	2016-03-02 11:53:04	Contig	unverified source organism	IonTorrent	1967193	56.5	127.9x	3495357	GCA_001642615.1	Gluconobacter japonicus	376620	3.495357	cd05931	FAAL	1	#FFFFFF
MBI4784853.1	GCA_016208305.1	Oscillatoriophycideae cyanobacterium NC_groundwater_1537_Pr4_S-0.65um_50_18	Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae	Metagenomes from Northern California groundwater	collection_date	9/8/2018	SR1-18-Sp65_coassembly_Cyanobacteria_50_18	Not Available	MIMAG.water	Jill Banfield's Lab at Berkeley	MIMAG.water.6.0	2020-12-22 18:39:29	Contig	derived from metagenome,genus undefined	Illumina NovaSeq	3479302	50	50.1x	6939892	GCA_016208305.1	Oscillatoriophycideae cyanobacterium NC_groundwater_1537_Pr4_S-0.65um_50_18	2750147	6.939892	cd05931	FAAL	1	#FFFFFF
MBX7219992.1	GCA_019695185.1	Blastocatellia bacterium	Bacteria; Acidobacteriota; Blastocatellia	Time-series metagenome survey of activated sludge in a full-scale wastewater treatment plant	isolation_source	waste water treatment plant	MIMAG Metagenome-assembled Genome sample from Blastocatellia bacterium	Not Available	MIMAG.wastewater	SCELSE	MIMAG.wastewater.6.0	2021-08-20 18:39:08	Contig	derived from metagenome,genus undefined	Illumina HiSeq	4495762	54	15.3x	8329599	GCA_019695185.1	Blastocatellia bacterium	2052146	8.329599	cd00833-cd05930-cd05931-cd17643-cd19531	A_NRPS-A_NRPS_Cytc1-like-FAAL-LCL_NRPS-like-PKS	7	#000000
MBP6632607.1	GCA_017989835.1	Kofleriaceae bacterium	Bacteria; Myxococcota; Polyangia; Haliangiales; Kofleriaceae	ANTIRES - Distribution pathways of antibiotic resistances in municipal wastewater	collection_date	not applicable	MAG bin Go_SlAct_bin_23 of sample SAMN18038647 generated with metaSPAdes and MetaBAT2	Not Available	MIMAG.wastewater	University of Goettingen	MIMAG.wastewater.6.0	2021-03-22 16:50:06	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq	5608249	74	30.5x	7597397	GCA_017989835.1	Kofleriaceae bacterium	2212474	7.597397	cd05931	FAAL	1	#FFFFFF
WP_160702661.1	GCF_009910495.1	Amycolatopsis sp. SID8362	Bacteria; Actinomycetota; Actinomycetes; Pseudonocardiales; Pseudonocardiaceae; Amycolatopsis	Chevrette et al 2019 Nature Communications	strain	SID8362	Microbe sample from Amycolatopsis sp. SID8362	Not Available	Microbe, viral or environmental	University of Wisconsin-Madison	Microbe.1.0	2019-12-18 0:00:00	Contig	Not Available	Illumina MiSeq	7481160	71.5	52.0x	10489156	GCF_009910495.1	Amycolatopsis sp. SID8362	2690346	10.489156	cd05931	FAAL	1	#FFFFFF
WP_165964327.1	GCF_004348535.1	Actinomadura sp. KC216	Bacteria; Actinomycetota; Actinomycetes; Streptosporangiales; Thermomonosporaceae; Actinomadura	Whole-genome analyses of novel actinobacteria	strain	KC216	Microbe sample from Actinomadura sp. KC216	Not Available	Microbe, viral or environmental	Ondokuz Mayis University	Microbe.1.0	2019-02-28 0:00:00	Contig	Not Available	Illumina HiSeq	6466228	71.5	31.0x	9063532	GCF_004348535.1	Actinomadura sp. KC216	2530370	9.063532	cd05931-cd19531	FAAL-LCL_NRPS-like	3	#000000
WP_076977472.1	GCF_001970135.1	Streptomyces sp. M1013	Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces	Streptomyces sp. M1013 Genome sequencing and assembly	strain	M1013	Microbe sample from Streptomyces sp. M1013	Not Available	Microbe, viral or environmental	Institute for Integrative Biology of the Cell	Microbe.1.0	2017-01-02 0:50:19	Scaffold	Not Available	Illumina GAIIx	6087665	72	224.0x	8448284	GCF_001970135.1	Streptomyces sp. M1013	549798	8.448284	cd05931-cd19531	FAAL-LCL_NRPS-like	3	#000000
WP_094102639.1	GCF_001896135.2	Streptomyces phaeoluteigriseus	Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; Streptomyces aurantiacus group	Streptomyces phaeoluteigriseus DSM 41896 Genome sequencing and assembly	strain	DSM 41896	WGS of Streptomyces phaeoluteigriseus DSM41896	Not Available	MIGS.ba	University of Strathclyde	MIGS.ba.6.0	2016-11-09 0:00:00	Scaffold	Not Available	IonTorrent	6167781	71.5	65.0x	8643493	GCF_001896135.2	Streptomyces phaeoluteigriseus	114686	8.643493	cd05931	FAAL	1	#FFFFFF
WP_181197841.1	GCF_002994615.1	Enhygromyxa salina	Bacteria; Myxococcota; Myxococcia; Myxococcales; Enhygromyxa	Enhygromyxa salina strain:SWB005 Genome sequencing and assembly	strain	SWB005	Microbe sample from Enhygromyxa salina	Not Available	Microbe, viral or environmental	Georg-August-University Goettingen	Microbe.1.0	2018-02-22 0:00:00	Contig	Not Available	Illumina	6267017	69.5	75.0x	9010436	GCF_002994615.1	Enhygromyxa salina	215803	9.010436	cd05235-cd05931	FAAL-SDR_e1	2	#000000
WP_181234074.1	GCF_002994635.1	Enhygromyxa salina	Bacteria; Myxococcota; Myxococcia; Myxococcales; Enhygromyxa	Enhygromyxa salina strain:SWB007 Genome sequencing and assembly	strain	SWB007	Microbe sample from Enhygromyxa salina	Not Available	Microbe, viral or environmental	Georg-August-University Goettingen	Microbe.1.0	2018-02-22 0:00:00	Contig	Not Available	Illumina	7228436	68	73.3x	10602692	GCF_002994635.1	Enhygromyxa salina	215803	10.602692	cd05235-cd05931	FAAL-SDR_e1	2	#000000
KIG15512.1	GCA_000737335.3	Enhygromyxa salina	Bacteria; Myxococcota; Myxococcia; Myxococcales; Enhygromyxa	Enhygromyxa salina strain:DSM 15201 Genome sequencing and assembly	strain	DSM 15201	Microbe sample from Enhygromyxa salina	Not Available	Microbe, viral or environmental	IMTECH-CSIR	Microbe.1.0	2014-04-04 0:00:00	Contig	Not Available	Illumina HiSeq	7033902	67.5	125.0x	10435313	GCA_000737335.3	Enhygromyxa salina	215803	10.435313	cd05235-cd05931	FAAL-SDR_e1	2	#000000
WP_165703858.1	GCF_000737335.2	Enhygromyxa salina	Bacteria; Myxococcota; Myxococcia; Myxococcales; Enhygromyxa	Enhygromyxa salina strain:DSM 15201 Genome sequencing and assembly	strain	DSM 15201	Microbe sample from Enhygromyxa salina	Not Available	Microbe, viral or environmental	IMTECH-CSIR	Microbe.1.0	2014-04-04 0:00:00	Contig	Not Available	Illumina HiSeq	7033902	67.5	125.0x	10435313	GCF_000737335.2	Enhygromyxa salina	215803	10.435313	cd05235-cd05931	FAAL-SDR_e1	2	#000000
MBS0448805.1	GCA_018241265.1	Pseudomonadota bacterium	Bacteria; Pseudomonadota	Lab-scale sequencing batch reactors of AS under antibiotic selection pressure Metagenome	isolate	SZAS AMP-55	PROT-AMP-55	Not Available	Microbe, viral or environmental	The University Hong Kong	Microbe.1.0	2021-05-04 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq	4059830	69.5	1076.0x	5863289	GCA_018241265.1	Pseudomonadota bacterium	1977087	5.863289	cd05931	FAAL	1	#FFFFFF
MBK6688723.1	GCA_016703535.1	Deltaproteobacteria bacterium	Bacteria; Myxococcota; Myxococcia	Activated sludge metagenome Genome sequencing and assembly	collection_date	8/30/2018	MIMAG Metagenome-assembled Genome sample from Deltaproteobacteria bacterium	Not Available	MIMAG.wastewater	Aalborg University	MIMAG.wastewater.6.0	2021-01-20 0:00:00	Contig	derived from metagenome,genus undefined	Oxford Nanopore PromethION	6484118	66.5	24.6x	9757120	GCA_016703535.1	Deltaproteobacteria bacterium	2026735	9.75712	cd00833-cd05195-cd05931	FAAL-PKS-enoyl_red	3	#000000
MCK6548425.1	GCA_023150785.1	Myxococcota bacterium	Bacteria; Myxococcota	Partial denitrification and anammox across different temperatures Raw sequence reads	collection_date	10/1/2019	MIMAG Metagenome-assembled Genome sample from Myxococcota bacterium	Not Available	MIMAG.wastewater	NanJing University	MIMAG.wastewater.6.0	2022-04-01 0:53:09	Scaffold	derived from metagenome,genus undefined	Illumina X Ten	7617208	71	4.0x	10758926	GCA_023150785.1	Myxococcota bacterium	2818507	10.758926	cd00833-cd05195-cd05931	FAAL-PKS-enoyl_red	3	#000000
MCA9567511.1	GCA_020430625.1	Myxococcales bacterium	Bacteria; Myxococcota; Myxococcia; Myxococcales	activated sludge metagenome Raw sequence reads	isolation_source	activated sludge from Shatin waste water treatment plant collected monthly from 2007 through 2015	MYXO_31	Not Available	Microbe, viral or environmental	The University Hong Kong	Microbe.1.0	2021-10-14 6:40:01	Scaffold	derived from metagenome,fragmented assembly,genus undefined	Illumina HiSeq	4703778	72	17.0x	6523875	GCA_020430625.1	Myxococcales bacterium	2026763	6.523875	cd05931	FAAL	1	#FFFFFF
MCB9671124.1	GCA_020632855.1	Alphaproteobacteria bacterium	Bacteria; Pseudomonadota; Alphaproteobacteria	Hong Kong Shatin Activated Sludge Metagenome	isolate	HK-STAS-MYXO-40	MIMAG Metagenome-assembled Genome sample from Alphaproteobacteria bacterium	Not Available	MIMAG.wastewater	The University of Hong Kong	MIMAG.wastewater.6.0	2021-10-16 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq; Oxford Nanopore PromethION	4158366	72	28.6x	5782890	GCA_020632855.1	Alphaproteobacteria bacterium	1913988	5.78289	cd05931	FAAL	1	#FFFFFF
MCK6520255.1	GCA_023150845.1	Myxococcota bacterium	Bacteria; Myxococcota	Partial denitrification and anammox across different temperatures Raw sequence reads	collection_date	10/1/2019	MIMAG Metagenome-assembled Genome sample from Myxococcota bacterium	Not Available	MIMAG.wastewater	NanJing University	MIMAG.wastewater.6.0	2022-04-01 0:53:09	Scaffold	derived from metagenome,genus undefined	Illumina X Ten	5033426	70.5	4.0x	7133370	GCA_023150845.1	Myxococcota bacterium	2818507	7.13337	cd00833-cd05931	FAAL-PKS	2	#000000
MBK9371123.1	GCA_016719515.1	Deltaproteobacteria bacterium	Bacteria; Myxococcota; Myxococcia	Activated sludge metagenome Genome sequencing and assembly	collection_date	8/29/2018	MIMAG Metagenome-assembled Genome sample from Deltaproteobacteria bacterium	Not Available	MIMAG.wastewater	Aalborg University	MIMAG.wastewater.6.0	2021-01-20 0:00:00	Contig	derived from metagenome,genus undefined	Oxford Nanopore PromethION	5998970	69.5	30.3x	8651915	GCA_016719515.1	Deltaproteobacteria bacterium	2026735	8.651915	cd00833-cd05931	FAAL-PKS	2	#000000
MBK7757118.1	GCA_016706815.1	Deltaproteobacteria bacterium	Bacteria; Myxococcota; Myxococcia	Activated sludge metagenome Genome sequencing and assembly	collection_date	8/29/2018	MIMAG Metagenome-assembled Genome sample from Deltaproteobacteria bacterium	Not Available	MIMAG.wastewater	Aalborg University	MIMAG.wastewater.6.0	2021-01-20 0:00:00	Contig	derived from metagenome,genus undefined	Oxford Nanopore PromethION	5394417	69.5	12.3x	7779645	GCA_016706815.1	Deltaproteobacteria bacterium	2026735	7.779645	cd05931	FAAL	1	#FFFFFF
MBX7099491.1	GCA_019694595.1	Myxococcaceae bacterium	Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae	Time-series metagenome survey of activated sludge in a full-scale wastewater treatment plant	isolation_source	waste water treatment plant	MIMAG Metagenome-assembled Genome sample from Myxococcaceae bacterium	Not Available	MIMAG.wastewater	SCELSE	MIMAG.wastewater.6.0	2021-08-20 18:39:08	Contig	derived from metagenome,genus undefined	Illumina HiSeq	5212150	71.5	31.3x	7275791	GCA_019694595.1	Myxococcaceae bacterium	2484252	7.275791	cd05931	FAAL	1	#FFFFFF
MBK6687589.1	GCA_016703535.1	Deltaproteobacteria bacterium	Bacteria; Myxococcota; Myxococcia	Activated sludge metagenome Genome sequencing and assembly	collection_date	8/30/2018	MIMAG Metagenome-assembled Genome sample from Deltaproteobacteria bacterium	Not Available	MIMAG.wastewater	Aalborg University	MIMAG.wastewater.6.0	2021-01-20 0:00:00	Contig	derived from metagenome,genus undefined	Oxford Nanopore PromethION	6484118	66.5	24.6x	9757120	GCA_016703535.1	Deltaproteobacteria bacterium	2026735	9.75712	cd02440-cd05930-cd05931-cd17646-cd19531	A_NRPS-A_NRPS_AB3403-like-AdoMet_MTases-FAAL-LCL_NRPS-like	7	#000000
MBK9266353.1	GCA_016715885.1	Polyangiaceae bacterium	Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae	Activated sludge metagenome Genome sequencing and assembly	collection_date	9/3/2018	MIMAG Metagenome-assembled Genome sample from Polyangiaceae bacterium	Not Available	MIMAG.wastewater	Aalborg University	MIMAG.wastewater.6.0	2021-01-20 0:00:00	Contig	derived from metagenome,genus undefined	Oxford Nanopore PromethION	6679568	60	18.0x	11097727	GCA_016715885.1	Polyangiaceae bacterium	2268199	11.097727	cd05931	FAAL	1	#FFFFFF
MBV8688032.1	GCA_019239615.1	Alphaproteobacteria bacterium	Bacteria; Pseudomonadota; Alphaproteobacteria	Metagenome-assembled genomes from V. epidendroides and B. macrantha-associated communities	isolate	CP_BM_RX_R9_11	MIMAG Metagenome-assembled Genome sample from Alphaproteobacteria bacterium	Not Available	MIMAG.plant-associated	The Genomics for Climate Change Research Center	MIMAG.plant-associated.6.0	2021-07-04 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	2579787	70	100.0x	3680695	GCA_019239615.1	Alphaproteobacteria bacterium	1913988	3.680695	cd05931	FAAL	1	#FFFFFF
HHO49997.1	GCA_011376105.1	Deltaproteobacteria bacterium	Bacteria; Myxococcota; Myxococcia	Metagenome-assembled genomes from hydrothermal vent and freshwater spring sediments	isolate	HyVt-553	Microbe sample from Deltaproteobacteria bacterium	Not Available	Microbe, viral or environmental	The University of Hong Kong	Microbe.1.0	2019-01-01 12:37:53	Contig	derived from metagenome,genus undefined	Illumina HiSeq 2500	4713736	70.5	12.4x	6699292	GCA_011376105.1	Deltaproteobacteria bacterium	2026735	6.699292	cd00833-cd05931	FAAL-PKS	2	#000000
MCB9744624.1	GCA_020632815.1	Alphaproteobacteria bacterium	Bacteria; Pseudomonadota; Alphaproteobacteria	Hong Kong Shatin Activated Sludge Metagenome	isolate	HK-STAS-MYXO-44	MIMAG Metagenome-assembled Genome sample from Alphaproteobacteria bacterium	Not Available	MIMAG.wastewater	The University of Hong Kong	MIMAG.wastewater.6.0	2021-10-16 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq; Oxford Nanopore PromethION	5041724	72.5	18.6x	6969129	GCA_020632815.1	Alphaproteobacteria bacterium	1913988	6.969129	cd00657-cd05235-cd05931	FAAL-Ferritin_like-SDR_e1	3	#000000
MBK7535650.1	GCA_016706545.1	Myxococcales bacterium	Bacteria; Myxococcota; Myxococcia; Myxococcales	Activated sludge metagenome Genome sequencing and assembly	collection_date	8/29/2018	MIMAG Metagenome-assembled Genome sample from Myxococcales bacterium	Not Available	MIMAG.wastewater	Aalborg University	MIMAG.wastewater.6.0	2021-01-20 0:00:00	Contig	derived from metagenome,genus undefined	Oxford Nanopore PromethION	6011506	70	8.5x	8558619	GCA_016706545.1	Myxococcales bacterium	2026763	8.558619	cd05930-cd05931-cd19531	A_NRPS-FAAL-LCL_NRPS-like	4	#000000
MCA9658182.1	GCA_020431135.1	Myxococcales bacterium	Bacteria; Myxococcota; Myxococcia; Myxococcales	activated sludge metagenome Raw sequence reads	isolation_source	activated sludge from Shatin waste water treatment plant collected monthly from 2007 through 2015	MYXO_11	Not Available	Microbe, viral or environmental	The University Hong Kong	Microbe.1.0	2021-10-14 6:40:01	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq	5738991	72	34.0x	7981855	GCA_020431135.1	Myxococcales bacterium	2026763	7.981855	cd05931	FAAL	1	#FFFFFF
MBL4849692.1	GCA_016765095.1	Planctomycetota bacterium	Bacteria; Planctomycetota	A dynamic microbial community with high functional redundancy inhabits the cold, oxic subseafloor aquifer	collection_date	missing	137 additional metagenome-assembled genomes from a cold, oxic subseafloor aquifer	Not Available	MIMAG.water	University of Southern California	MIMAG.water.6.0	2021-01-14 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	5694879	66.5	1.0x	8574730	GCA_016765095.1	Planctomycetota bacterium	2026780	8.57473	cd05931	FAAL	1	#FFFFFF
MCB9706182.1	GCA_020633335.1	Myxococcales bacterium	Bacteria; Myxococcota; Myxococcia; Myxococcales	Hong Kong Shatin Activated Sludge Metagenome	isolate	HK-STAS-MYXO-15	MIMAG Metagenome-assembled Genome sample from Myxococcales bacterium	Not Available	MIMAG.wastewater	The University of Hong Kong	MIMAG.wastewater.6.0	2021-10-16 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq; Oxford Nanopore PromethION	6361996	72.5	103.9x	8756432	GCA_020633335.1	Myxococcales bacterium	2026763	8.756432	cd00833-cd05195-cd05931	FAAL-PKS-enoyl_red	3	#000000
